,artistName,trackName,trackID,acoustincess,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
0,Young T & Bugsey,Throw Me A Text,1cmX1KzDCfwAXaeq2WUBvE,0.425,0.856,200573,0.648,1.18E-06,1,0.0663,-6.05,1,0.0766,102.997,4,0.774,0
1,The Weeknd,In Your Eyes,7szuecWAPwGoV1e5vGu8tl,0.00356,0.665,237520,0.718,7.18E-05,7,0.074,-5.385,0,0.0335,100.033,4,0.72,0
2,Holly Humberstone,Falling Asleep At The Wheel,5rqQv5jUcg58xsi1nuZDl9,0.736,0.662,203248,0.626,0,0,0.27,-8.3,1,0.221,121.828,4,0.321,7
3,Vistas,15 Years,5lmbiEhAum7m0lfijCdCYp,0.00317,0.583,169202,0.884,2.44E-06,10,0.0993,-4.965,1,0.041,107.537,4,0.441,32
4,Låpsley,Speaking of the End,05WcicrMesButARnfWkrJe,0.929,0.637,188800,0.209,0,8,0.0865,-17.192,0,0.091,119.929,4,0.446,26
5,Tinie Tempah,Top Winners (feat. Not3s),0V2D1l5uEi5p4z6ug7ENSo,0.247,0.572,171817,0.676,0,5,0.185,-4.078,0,0.352,136.85,5,0.709,48
6,Rudimental,Easy On Me,2CoGeoKIHd0dCwTt2cNA2L,0.0101,0.737,227953,0.834,0.924,10,0.127,-7.166,0,0.0484,127.013,4,0.691,0
7,Tove Lo,I'm Coming - Spotify Studios Recording,4C6EPWGYM3K3IIv4xzPL2X,0.00536,0.65,196558,0.625,0.000492,0,0.119,-10.122,0,0.0359,118.966,4,0.296,0
8,Nothing But Thieves,Is Everybody Going Crazy?,3CauBZqN2EuHTJo4sSpjbS,0.000499,0.621,237053,0.666,0.0768,6,0.0797,-7.079,1,0.0544,123.974,4,0.579,42
9,FISHER,Freaks,7f4rLiuUmeWCgkErVvJROi,0.00223,0.806,175255,0.869,0.775,1,0.123,-4.344,1,0.0544,124.01,4,0.785,0
10,Fredo,Scorpion,6TSmVFkttBEOR7N9LWU4zb,0.025,0.868,235482,0.408,0,4,0.104,-11.981,0,0.448,132.012,4,0.398,0
11,Smoothboi Ezra,Never Get Over,5sgHTL2XOXE5DVZ3u8FrnF,0.848,0.387,267273,0.286,5.82E-06,4,0.102,-10.256,1,0.031,109.913,4,0.156,0
12,Charlie Cunningham,Climb,0uLTeRXyja0M11dMB6ScAa,0.918,0.494,216587,0.352,0.413,4,0.108,-15.396,1,0.0298,157.851,4,0.191,25
13,Conan Gray,Wish You Were Sober,50JEoj7rigjIYJaPb0uMsZ,0.0146,0.7,168883,0.712,0,2,0.226,-5.229,1,0.0525,91.059,4,0.664,53
14,Mabes,Keeping The Noise Down,72FjoFfUQlEF2Zq0R7nhMF,0.225,0.464,168999,0.543,0.000373,3,0.145,-7.279,1,0.0523,86.782,4,0.47,0
15,John Legend,Actions,0KGgFs3yJ1aHGnEU8nHCqR,0.143,0.48,176467,0.894,0,2,0.206,-3.216,0,0.369,166.264,4,0.477,0
16,Don Diablo,Bad,1T4U8Q2DRfs6OUg8DEsRZf,0.406,0.791,169911,0.738,0.00826,0,0.159,-5.197,1,0.0732,123.927,4,0.666,0
17,Shura,elevator girl ft. Ivy Sole,3yMem9r5sAf6qYnLfORjle,0.0841,0.672,206658,0.423,0.00332,10,0.0528,-9.511,0,0.0672,81.952,4,0.653,29
18,Bruno Major,Old Soul,1424NuP4l8g7W3dvBTqx5F,0.422,0.801,186667,0.388,0.00532,6,0.104,-9.737,0,0.205,155.021,4,0.627,13
19,Kelsea Ballerini,the other girl (with Halsey),3CS5zwqrjggxlRD0QGJAva,0.419,0.583,201344,0.769,0,8,0.0988,-4.859,0,0.159,179.869,4,0.785,0
20,Big Tobz,Sugar Daddy (feat. Mr Eazi & Ms Banks),5fmDO7M4yqPnvpQGQo5ITB,0.233,0.768,213734,0.703,0.00102,9,0.19,-8.351,0,0.109,106.056,4,0.587,0
