release_date,year,artistName,trackName,trackID,acoustincess,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,chart_position,genres
1950-01-01 00:00:00,1950,Nat King Cole,Mona Lisa,5dae01pKNjRQtgOeAkFzPY,0.952,0.241,194987,0.237,0.0,1,0.113,-12.201,1,0.0371,174.578,3,0.303,52,2,"['adult standards', 'lounge', 'vocal jazz']"
1950-01-01 01:00:00,1950,Anton Karas,Third Man Theme,7kixCGSpKVDPF7nOqfWQcx,0.866,0.487,133520,0.499,0.8759999999999999,6,0.0746,-7.402,1,0.0381,89.824,4,0.83,32,3,['zither']
1950-01-01 02:00:00,1950,Gary and Bing Crosby,Simple Melody,3NsgqlBDPkc2YojsXDglq1,0.754,0.633,172973,0.199,0.0,5,0.203,-15.18,1,0.0451,138.315,3,0.785,0,5,[]
1950-01-01 03:00:00,1950,Teresa Brewer,"Music, Music, Music",4LVy2nxwMiuL4XfqxdyypN,0.35100000000000003,0.753,172173,0.5820000000000001,3.89e-06,2,0.127,-8.11,1,0.0373,97.874,4,0.8859999999999999,23,6,"['adult standards', 'deep adult standards']"
1950-01-01 04:00:00,1950,Billy Eckstine,My Foolish Heart,4UnRb3Fmb8F2h2a1xKj6uK,0.993,0.218,183573,0.18600000000000005,0.141,9,0.379,-13.342,1,0.0382,170.877,4,0.113,20,28,"['adult standards', 'big band', 'swing', 'vocal jazz']"
1950-01-01 05:00:00,1950,Red Foley,Chattanoogie Shoe Shine Boy,7Jf323ttHKUnPylFWiaGl3,0.613,0.725,169000,0.373,0.0202,10,0.118,-15.925,1,0.0494,148.36700000000005,4,0.846,39,8,['western swing']
1950-01-01 06:00:00,1950,Tennessee Ernie Ford and Kay Starr,I'll Never Be Free,4v2u4ec7DEAjfaZO5yOusW,0.769,0.6970000000000001,158787,0.274,0.0,7,0.102,-7.425,1,0.0315,82.12899999999998,3,0.434,2,20,"['bluegrass gospel', 'country boogie', 'country gospel', 'yodeling']"
1950-01-01 07:00:00,1950,Gordon Jenkins,My Foolish Heart,43HxisWF01I1HATbdQg8Je,0.985,0.361,199598,0.217,0.000857,4,0.14,-10.1,1,0.0296,84.149,4,0.118,6,22,"['easy listening', 'space age pop']"
1950-01-01 08:00:00,1950,Andrews Sisters and Gordon Jenkins,"I Can Dream, Can't I",60m1lHoUrjWXIpzlp6KvRW,0.916,0.359,158000,0.173,0.0,9,0.252,-9.795,0,0.0288,88.085,4,0.275,30,19,"['adult standards', 'lounge', 'swing', 'torch song', 'vocal harmony group', 'vocal jazz']"
1950-01-01 09:00:00,1950,Ames Brothers,Sentimental Me,3WMTjwP9vTwmuDSQ4IpYW4,0.856,0.407,198240,0.19,0.0,8,0.136,-11.395,1,0.0283,74.508,4,0.244,5,16,"['adult standards', 'deep adult standards', 'easy listening', 'vocal harmony group']"
1950-01-01 10:00:00,1950,Bing Crosby,Dear Hearts And Gentle People,28IBsttOK2aG9Cb4QtqhMr,0.91,0.767,161293,0.28800000000000003,0.000377,2,0.142,-12.741,1,0.0397,107.741,3,0.722,33,29,"['adult standards', 'easy listening', 'lounge']"
1950-01-16 00:00:00,1950,Sammy Kaye,Harbor Lights,7hHOmImd35ZdKovBNSQXk8,0.99,0.21600000000000005,200760,0.0591,0.00218,2,0.112,-21.08,1,0.0325,83.344,4,0.131,17,9,[]
1950-02-03 00:00:00,1950,Andrews Sisters and Gordon Jenkins,I Wanna Be Loved,6vSKLIxqiYllqDd2VcGVHv,0.93,0.387,198000,0.0958,0.0,8,0.17,-12.278,1,0.0391,167.122,5,0.224,18,17,"['adult standards', 'lounge', 'swing', 'torch song', 'vocal harmony group', 'vocal jazz']"
1950-02-25 00:00:00,1950,Gary and Bing Crosby,Sam's Song,2AFpg6BKw3ZIHYd6eucFVb,0.979,0.7090000000000001,174587,0.337,0.0186,0,0.142,-8.276,0,0.0548,117.983,4,0.459,2,4,[]
1950-03-13 00:00:00,1950,Gordon Jenkins,Bewitched,163BIZBpIOGhxcGwxbntMa,0.957,0.338,216790,0.14400000000000002,0.00016299999999999998,11,0.16899999999999998,-11.706,1,0.0348,81.211,4,0.232,0,26,"['easy listening', 'space age pop']"
1950-03-23 00:00:00,1950,Kay Starr,Bonaparte's Retreat,1vIo9UjKoZRSSKn4Al2g4f,0.8320000000000001,0.647,148787,0.265,3.4e-05,8,0.071,-7.712999999999999,1,0.0513,145.838,4,0.8340000000000001,1,12,"['adult standards', 'big band', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']"
1950-03-31 00:00:00,1950,Ames Brothers,Can Anyone Explain?,4lh2f3aeRv0GcTUwP4Ydi1,0.8740000000000001,0.282,181945,0.0927,0.0053100000000000005,9,0.102,-20.998,1,0.0333,144.496,4,0.29600000000000004,10,27,"['adult standards', 'deep adult standards', 'easy listening', 'vocal harmony group']"
1950-03-31 01:00:00,1950,Ames Brothers,Rag Mop,7z03paoXvhCzN22twdfPHR,0.57,0.565,166520,0.478,0.000451,7,0.33,-14.53,1,0.0567,203.468,4,0.956,21,23,"['adult standards', 'deep adult standards', 'easy listening', 'vocal harmony group']"
1950-04-18 00:00:00,1950,Frankie Laine,Cry Of The Wild Goose,4Gx5Hy6fnfeXcSEnVls6f3,0.8240000000000001,0.637,174813,0.275,0.0,0,0.239,-12.261,0,0.0386,80.044,4,0.454,15,30,"['adult standards', 'brill building pop', 'cowboy western', 'deep adult standards', 'easy listening', 'lounge', 'rock-and-roll']"
1950-05-10 00:00:00,1950,Sammy Kaye and Don Cornell,It Isn't Fair,3RxI4EHxmNqd7nHJPqbxUm,0.912,0.411,200787,0.206,0.0029,0,0.364,-12.48,1,0.0353,69.193,4,0.3,6,10,[]
1950-05-20 00:00:00,1950,Tony Martin,There's No Tomorrow,4Rnw6j0vSMg1EECshYK298,0.924,0.365,163190,0.333,0.339,8,0.13699999999999998,-10.862,1,0.0317,97.064,4,0.322,15,14,"['adult standards', 'brill building pop', 'easy listening', 'lounge']"
1950-06-03 00:00:00,1950,Perry Como,Hoop-Dee-Doo,12WJhNxX6EYC2rAlfVOW4d,0.91,0.645,174040,0.43,0.0,1,0.561,-11.916,1,0.0444,132.643,4,0.944,24,25,"['adult standards', 'brill building pop', 'easy listening', 'lounge']"
1950-08-16 00:00:00,1950,Gordon Jenkins and The Weavers,Goodnight Irene,0ovbd86qDYXYTythqAmofL,0.991,0.3670000000000001,153992,0.229,0.0,4,0.484,-16.255,1,0.0326,138.38,4,0.617,4,1,[]
1950-10-22 00:00:00,1950,Guy Lombardo,Third Man Theme,6kVfwQOc2PjVPwbk0aEmN9,0.8859999999999999,0.809,177333,0.195,0.636,0,0.0849,-10.808,1,0.0358,115.59,4,0.536,9,7,['big band']
